'a'cheng 阿城
'fei'dong 肥东
'fei'xian 费县
'fen'yang 汾阳
'fen'yi 分宜
'feng'cheng 丰城
'feng'cheng'nan 丰城南
'feng'hua 奉化
'feng'huang'cheng 凤凰城
'feng'le'zhen 丰乐镇
'feng'ling'du 风陵渡
'feng'shun 丰顺
'feng'tun 冯屯
'feng'xian 凤县
'feng'yang 凤阳
'feng'zhen 丰镇
'feng'zhou 凤州
'fo'shan 佛山
'fu'an 福安
'fu'ding 福鼎
'fu'hai 富海
'fu'hai 福海
'fu'jin 富锦
'fu'la'er'ji 富拉尔基
'fu'li'tun 福利屯
'fu'ling 涪陵
'fu'nan 阜南
'fu'ning 抚宁
'fu'ning 阜宁
'fu'qing 福清
'fu'quan 福泉
'fu'shun 抚顺
'fu'shun'bei 抚顺北
'fu'sui 扶绥
'fu'xian 富县
'fu'xian'dong 富县东
'fu'xin 阜新
'fu'yang 阜阳
'fu'yu 富裕
'fu'yu 扶余
'fu'yuan 富源
'fu'zhou 福州
'fu'zhou'bei 抚州北
'fu'zhou'nan 福州南
'ga'shen'dian'zi 嘎什甸子
'gai'zhou 盖州
'gan'gou 干沟
'gan'gu 甘谷
'gan'he 甘河
'gan'luo 甘洛
'gan'qi'ka 甘旗卡
'gan'quan'bei 甘泉北
'gan'shui 赶水
'gan'zhou 赣州
'gao'bei'dian 高碑店
'gao'cheng 藁城
'gao'lan 皋兰
'gao'lao 高老
'gao'mi 高密
'gao'ping 高平
'gao'qi 高崎
'gao'qiao'zhen 高桥镇
'gao'shan'zi 高山子
'gao'tai 高台
'gao'tan 高滩
'gao'yi 高邑
'ge'er'mu 格尔木
'ge'gen'miao 葛根庙
'ge'zhen'bao 革镇堡
'gen'he 根河
'gong'miao'zi 公庙子
'gong'nong'hu 工农湖
'gong'qing'cheng 共青城
'gong'yi 巩义
'gong'yi'nan 巩义南
'gong'ying'zi 公营子
'gong'zhu'ling 公主岭
'gou'bang'zi 沟帮子
'gu'an 固安
'gu'cheng 谷城
'gu'cheng'zhen 古城镇
'gu'dong 古东
'gu'jia'zi 孤家子
'gu'jiao 古交
'gu'lang 古浪
'gu'lian 古莲
'gu'shi 固始
'gu'tian 古田
'gu'yuan 固原
'gu'yuan 菇园
'gu'zhen 古镇
'gu'zhen 固镇
'gua'zhou 瓜州
'guan'lin 关林
'guan'shui 灌水
'guan'ting 官厅
'guan'ting'xi 官厅西
'guan'zhai'shan 冠豸山
'guan'zi'jing 官字井
'guang'an 广安
'guang'de 广德
'guang'han 广汉
'guang'ming'cheng 光明城
'guang'ning'si 广宁寺
'guang'shui 广水
'guang'tong 广通
'guang'yuan 广元
'guang'ze 光泽
'guang'zhou 广州
'guang'zhou'bei 广州北
'guang'zhou'dong 广州东
'guang'zhou'nan 广州南
'gui'ding 贵定
'gui'ding'nan 贵定南
'gui'gang 贵港
'gui'lin 桂林
'gui'lin'bei 桂林北
'gui'liu'he 归流河
'gui'xi 贵溪
'gui'yang 贵阳
'guo'jia'dian 郭家店
'guo'lei'zhuang 郭磊庄
'guo'song 果松
'guo'yang 涡阳
'ha'er'bin 哈尔滨
'ha'er'bin'dong 哈尔滨东
'ha'la'hai 哈拉海
'ha'la'su 哈拉苏
'ha'ma'tang 蛤蟆塘
'ha'mi 哈密
'hai'an'xian 海安县
'hai'bei 海北
'hai'cheng 海城
'hai'kou 海口
'hai'kou'dong 海口东
'hai'la'er 海拉尔
'hai'lin 海林
'hai'long 海龙
'hai'lun 海伦
'hai'ning 海宁
'hai'ning'xi 海宁西
'hai'shi'wan 海石湾
'hai'tuo'zi 海坨子
'hai'yang 海阳
'han'cheng 韩城
'han'dan 邯郸
'han'gu 汉沽
'han'jiang 涵江
'han'kou 汉口
'han'ling 寒岭
'han'shou 汉寿
'han'yin 汉阴
'han'yuan 汉源
'han'zhong 汉中
'hang'zhou 杭州
'hang'zhou'nan 杭州南
'hao'liang'he 浩良河
'he'bei 鹤北
'he'bi 鹤壁
'he'bian 河边
'he'chuan 合川
'he'chun 河唇
'he'fei 合肥
'he'fei'xi 合肥西
'he'gang 鹤岗
'he'jian'xi 河间西
'he'jin 河津
'he'jing 和静
'he'kou'nan 河口南
'he'li 鹤立
'he'long 和龙
'he'ping 和平
'he'qing 鹤庆
'he'shen'tuo'luo'gai 和什托洛盖
'he'tian 和田
'he'yang 合阳
'he'yuan 河源
'he'ze 菏泽
'he'zhou 贺州
'hei'he 黑河
'hei'jing 黑井
'hei'shui 黑水
'hei'tai 黑台
'heng'dao'he'zi 横道河子
'heng'feng 横峰
'heng'shan 衡山
'heng'shan'xi 衡山西
'heng'shui 衡水
'heng'yang 衡阳
'heng'yang'dong 衡阳东
'hong'an 红安
'hong'an'xi 红安西
'hong'guang'zhen 红光镇
'hong'guo 红果
'hong'hua'gou 红花沟
'hong'qing 宏庆
'hong'shan 红山
'hong'si'bao 红寺堡
'hong'tong 洪洞
'hong'xing 红星
'hong'xing'long 红兴隆
'hong'yan 红彦
'hou'ma 侯马
'hu'he'hao'te 呼和浩特
'hu'he'hao'te'dong 呼和浩特东
'hu'kou 湖口
'hu'lan 呼兰
'hu'lin 虎林
'hu'lu'dao 葫芦岛
'hu'lu'dao'bei 葫芦岛北
'hu'men 虎门
'hu'shen'ha 虎什哈
'hu'shi'tai 虎石台
'hu'yuan 呼源
'hu'zhong 呼中
'hua'an 华安
'hua'cheng 华城
'hua'de 化德
'hua'jia 华家
'hua'lin 桦林
'hua'nan 桦南
'hua'qiao 花桥
'hua'rong 华容
'hua'shan 华山
'hua'shan'bei 华山北
'hua'ying 华蓥
'hua'yuan 花园
'hua'zhou 化州
'huai'an 淮安
'huai'an'nan 淮安南
'huai'bei 淮北
'huai'bin 淮滨
'huai'hua 怀化
'huai'nan 淮南
'huai'ren 怀仁
'huai'rou 怀柔
'huai'rou'bei 怀柔北
'huan'tai 桓台
'huan'xin'tian 换新天
'huang'bai 黄柏
'huang'chuan 潢川
'huang'cun 黄村
'huang'gu'tun 皇姑屯
'huang'gua'yuan 黄瓜园
'huang'hua'tong 黄花筒
'huang'kou 黄口
'huang'ling 黄陵
'huang'mei 黄梅
'huang'ni'he 黄泥河
'huang'shan 黄山
'huang'shi 黄石
'huang'shi'dong 黄石东
'huang'song'dian 黄松甸
'huang'zhou 黄州
'hui'nong 惠农
'hui'shan 惠山
'hui'tong 会同
'hui'xian 徽县
'hui'zhou 惠州
'hui'zhou'xi 惠州西
'hun'he 浑河
'huo'jia 获嘉
'huo'lin'guo'le 霍林郭勒
'huo'zhou 霍州
'ji'an 吉安
'ji'an 集安
'ji'dong 鸡东
'ji'guan'shan 鸡冠山
'ji'jia'gou 纪家沟
'ji'lin 吉林
'ji'nan 济南
'ji'nan'dong 济南东
'ji'nan'xi 济南西
'ji'ning 济宁
'ji'ning'nan 集宁南
'ji'shan 稷山
'ji'shou 吉首
'ji'shu 吉舒
'ji'wen 吉文
'ji'xi 鸡西
'ji'xi'xian 绩溪县
'ji'xian 蓟县
'ji'yuan 济源
'jia'feng 嘉峰
'jia'ge'da'qi 加格达奇
'jia'mu'si 佳木斯
'jia'shan 嘉善
'jia'shan'nan 嘉善南
'jia'xiang 嘉祥
'jia'xin'zi 夹心子
'jia'xing 嘉兴
'jia'xing'nan 嘉兴南
'jia'yu'guan 嘉峪关
'jian'chang 建昌
'jian'hu 建湖
'jian'ou 建瓯
'jian'san'jiang 建三江
'jian'she 建设
'jian'shi 建始
'jian'yang 建阳
'jian'yang 简阳
'jiang'bian'cun 江边村
'jiang'du 江都
'jiang'hua 江华
'jiang'jia 姜家
'jiang'jin 江津
'jiang'men 江门
'jiang'qiao 江桥
'jiang'shan 江山
'jiang'suo'tian 江所田
'jiang'yan 姜堰
'jiang'yong 江永
'jiang'you 江油
'jiang'yuan 江源
'jiao'cheng 交城
'jiao'he 蛟河
'jiao'zhou 胶州
'jiao'zhou'bei 胶州北
'jiao'zuo 焦作
'jiao'zuo'dong 焦作东
'jie'xiu 介休
'jie'yang 揭阳
'jin'bao'tun 金宝屯
'jin'chang 金昌
'jin'cheng 晋城
'jin'cheng'bei 晋城北
'jin'cheng'jiang 金城江
'jin'he 金河
'jin'he 锦和
'jin'he 锦河
'jin'hua'nan 金华南
'jin'hua'xi 金华西
'jin'jiang 晋江
'jin'keng 金坑
'jin'shan'bei 金山北
'jin'shan'tun 金山屯
'jin'xian 进贤
'jin'yun 缙云
'jin'zhai 金寨
'jin'zhang'zi 金杖子
'jin'zhou 晋州
'jin'zhou 金州
'jin'zhou 锦州
'jin'zhou'nan 锦州南
'jing'bian 靖边
'jing'de'zhen 景德镇
'jing'dian 井店
'jing'gang'shan 井冈山
'jing'hai 静海
'jing'he 精河
'jing'he'nan 精河南
'jing'jiu 经久
'jing'men 荆门
'jing'nan 井南
'jing'peng 经棚
'jing'shan 京山
'jing'tai 景泰
'jing'tie'shan 镜铁山
'jing'xing 井陉
'jing'yuan 靖远
'jing'zhou 靖州
'jiu'jiang 九江
'jiu'quan 酒泉
'jiu'san 九三
'jiu'tai 九台
'ju'bao 巨宝
'ju'nan 莒南
'ju'xian 莒县
'ju'ye 巨野
'juan'cheng 鄄城
'jun'de 峻德
'ka'shi 喀什
'kai'an 开安
'kai'feng 开封
'kai'jiang 开江
'kai'li 凯里
'kai'lu 开鲁
'kai'tong 开通
'kai'yuan 开原
'kang'cheng 康城
'kang'jin'jing 康金井
'kang'zhuang 康庄
'ke'dong 克东
'ke'la'ma'yi 克拉玛依
'ke'lan 岢岚
'ke'shan 克山
'ke'yi'he 克一河
'kong'jia'zhuang 孔家庄
'kou'qian 口前
'ku'che 库车
'ku'dou'er 库都尔
'ku'er'le 库尔勒
'kuan'dian 宽甸
'kui'shan 奎山
'kui'tun 奎屯
'kun'ming 昆明
'kun'shan 昆山
'kun'shan'nan 昆山南
'la'gu 拉古
'la'ha 拉哈
'la'lin 拉林
'la'ma'dian 喇嘛甸
'la'sa 拉萨
'lai'bin 来宾
'lai'tuan 濑湍
'lai'wu'dong 莱芜东
'lai'xi 莱西
'lai'yang 莱阳
'lai'yuan 涞源
'lai'zhou 来舟
'lan'cun 蓝村
'lan'gang 兰岗
'lan'kao 兰考
'lan'leng 兰棱
'lan'xi 兰溪
'lan'zhou 兰州
'lan'zhou'xi 兰州西
'lang'fang 廊坊
'lang'fang'bei 廊坊北
'lang'xiang 朗乡
'lao'bian 老边
'lao'fu 老府
'lao'lai 老莱
'lao'yang'hao 老羊壕
'lao'ying 老营
'le'chang 乐昌
'le'du 乐都
'le'ping'shi 乐平市
'le'shan 乐山
'lei'yang 耒阳
'lei'yang'xi 耒阳西
'lei'zhou 雷州
'leng'shui'jiang'dong 冷水江东
'li'cheng 黎城
'li'chuan 利川
'li'jia 李家
'li'jiang 丽江
'li'ling 醴陵
'li'mu'dian 里木店
'li'shi'zhai 李石寨
'li'shu'zhen 梨树镇
'li'shui 丽水
'li'tang 黎塘
'li'xian 澧县
'li'zhi 立志
'lian'jiang 廉江
'lian'jiang 连江
'lian'jiang'kou 莲江口
'lian'shan'guan 连山关
'lian'yuan 涟源
'lian'yun'gang 连云港
'lian'yun'gang'dong 连云港东
'liang'jia 两家
'liang'jia'dian 亮甲店
'liang'ping 梁平
'liang'shan 梁山
'liao'cheng 聊城
'liao'yang 辽阳
'liao'yuan 辽源
'liao'zhong 辽中
'lin'chuan 临川
'lin'dong 林东
'lin'fen 临汾
'lin'hai 临海
'lin'hai 林海
'lin'he 临河
'lin'jiang 临江
'lin'kou 林口
'lin'li 临澧
'lin'qing 临清
'lin'sheng'bao 林盛堡
'lin'xi 林西
'lin'xiang 临湘
'lin'yi 临沂
'lin'yi'bei 临沂北
'lin'ying 临颍
'lin'yuan 林源
'lin'ze 临泽
'lin'zi 临淄
'ling'bao 灵宝
'ling'bao'xi 灵宝西
'ling'hai 凌海
'ling'ling 零陵
'ling'qiu 灵丘
'ling'shi 灵石
'ling'shui 陵水
'ling'wu 灵武
'ling'yuan 凌源
'ling'yuan'dong 凌源东
'liu'he 柳河
'liu'jia'dian 刘家店
'liu'jia'he 刘家河
'liu'pan'shui 六盘水
'liu'shu'tun 柳树屯
'liu'yuan 柳园
'liu'zhi 六枝
'liu'zhou 柳州
'long'chang 隆昌
'long'chuan 龙川
'long'hua 隆化
'long'hua 龙华
'long'jia 龙嘉
'long'jiang 龙江
'long'jing 龙井
'long'li 龙里
'long'nan 龙南
'long'xi 陇西
'long'xian 陇县
'long'yan 龙岩
'long'you 龙游
'long'zhen 龙镇
'long'zhua'gou 龙爪沟
'lou'di 娄底
'lu'an 六安
'lu'chao'gang 芦潮港
'lu'cheng 潞城
'lu'chuan 陆川
'lu'dao 鹿道
'lu'fan 鲁番
'lu'feng 禄丰
'lu'he 六合
'lu'he'zhen 六合镇
'lu'jiang 庐江
'lu'kou'pu 路口铺
'lu'liang 陆良
'lu'long 卢龙
'lu'shan 庐山
'lu'shan 鲁山
'lu'shui'he 露水河
'lu'tai 芦台
'lu'xi 芦溪
'lu'zhai 鹿寨
'luan'ping 滦平
'luan'xian 滦县
'lue'yang 略阳
'lun'tai 轮台
'luo'he 漯河
'luo'jiang 罗江
'luo'ping 罗平
'luo'shan 罗山
'luo'yang 洛阳
'luo'yang'dong 洛阳东
'luo'yang'long'men 洛阳龙门
'luo'yuan 罗源
'lv'hua 绿化
'lv'liang 吕梁
'lv'shun 旅顺
'ma'an'shan 马鞍山
'ma'cheng 麻城
'ma'cheng'bei 麻城北
'ma'lian'he 马莲河
'ma'lin 马林
'ma'liu 麻柳
'ma'na'si'hu 玛纳斯湖
'ma'qiao'he 马桥河
'ma'san'jia 马三家
'ma'shan 麻山
'ma'tou 马头
'ma'wei 麻尾
'ma'yang 麻阳
'mai'yuan 麦园
'man'gui 满归
'man'shui'wan 漫水湾
'man'zhou'li 满洲里
'mao'ba 毛坝
'mao'ba'guan 毛坝关
'mao'cao'ping 茅草坪
'mao'er'shan 帽儿山
'mao'ming 茂名
'mao'ming'dong 茂名东
'mei'he'kou 梅河口
'mei'lan 美兰
'mei'shan 眉山
'mei'xi 美溪
'mei'zhou 梅州
'meng'dong'he 猛洞河
'meng'jia'gang 孟家岗
'meng'xi 孟溪
'mi'luo 汨罗
'mi'luo'dong 汨罗东
'mi'sha'zi 米沙子
'mi'shan 密山
'mi'yi 米易
'mi'yun 密云
'mi'zhi 米脂
'mian'chi 渑池
'mian'chi'nan 渑池南
'mian'du'he 免渡河
'mian'ning 冕宁
'mian'xian 勉县
'mian'yang 绵阳
'miao'ling 庙岭
'miao'tai'zi 庙台子
'min'qing 闽清
'min'quan 民权
'ming'an 明安
'ming'cheng 明城
'ming'gang 明港
'ming'guang 明光
'ming'shui'he 明水河
'mo'dao'shi 磨刀石
'mo'er'dao'ga 莫尔道嘎
'mo'he 漠河
'mo'yu 墨玉
'mu'dan'jiang 牡丹江
'mu'li'tu 木里图
'mu'ling 穆棱
'na'qu 那曲
'nai'lin 乃林
'nai'man 奈曼
'nan'cha 南岔
'nan'chang 南昌
'nan'chong 南充
'nan'chou 南仇
'nan'dan 南丹
'nan'fen 南芬
'nan'gong'dong 南宫东
'nan'guan'ling 南关岭
'nan'jing 南京
'nan'jing'nan 南京南
'nan'jing'xi 南京西
'nan'kou 南口
'nan'kou'qian 南口前
'nan'lang 南朗
'nan'mu 南木
'nan'ning 南宁
'nan'ping 南平
'nan'ping'nan 南平南
'nan'qiao 南桥
'nan'tai 南台
'nan'tong 南通
'nan'xiang'bei 南翔北
'nan'yang 南阳
'nan'yu 南峪
'nan'za'mu 南杂木
'nan'zhao 南召
'ne'he 讷河
'nei'jiang 内江
'nei'xiang 内乡
'nen'jiang 嫩江
'neng'jia 能家
'ni'he'zi 泥河子
'ni'le'ke 尼勒克
'nian'zi'shan 碾子山
'niang'zi'guan 娘子关
'ning'an 宁安
'ning'bo'dong 宁波东
'ning'de 宁德
'ning'guo 宁国
'ning'hai 宁海
'ning'jia 宁家
'ning'ling'xian 宁陵县
'ning'ming 宁明
'ning'wu 宁武
'ning'xiang 宁乡
'niu'jia 牛家
'niu'xin'tai 牛心台
'nong'an 农安
'pan'guan 盘关
'pan'jia'dian 潘家店
'pan'jin 盘锦
'pan'jin'bei 盘锦北
'pan'shi 磐石
'pan'zhi'hua 攀枝花
'pao'zi 泡子
'pei'de 裴德
'peng'an 蓬安
'peng'cheng 彭城
'peng'shan 彭山
'peng'shui 彭水
'peng'xi 蓬溪
'peng'ze 彭泽
'pi'kou 皮口
'pi'shan 皮山
'pi'xian'xi 郫县西
'pi'zhou 邳州
'pian'ling 偏岭
'piao'er'tun 瓢儿屯
'ping'an 平安
'ping'an'yi 平安驿
'ping'an'zhen 平安镇
'ping'ding'shan 平顶山
'ping'ding'shan'xi 平顶山西
'ping'fang 平房
'ping'gang 平岗
'ping'guan 平关
'ping'guo 平果
'ping'liang 平凉
'ping'quan 平泉
'ping'shan 平山
'ping'she 平社
'ping'shi 坪石
'ping'tai 平台
'ping'tian 平田
'ping'wang 平旺
'ping'xiang 凭祥
'ping'xiang 萍乡
'ping'yang 平洋
'ping'yao 平遥
'ping'yi 平邑
'ping'yuan 平原
'ping'zhuang 平庄
'ping'zhuang'nan 平庄南
'pu'cheng 蒲城
'pu'cheng'dong 蒲城东
'pu'lan'dian 普兰店
'pu'tian 莆田
'pu'xiong 普雄
'qi'chun 蕲春
'qi'dong 祁东
'qi'jia'bao 祁家堡
'qi'jiang 綦江
'qi'li'he 七里河
'qi'men 祁门
'qi'qi'ha'er 齐齐哈尔
'qi'shu'yan 戚墅堰
'qi'tai'he 七台河
'qi'xia'ying 旗下营
'qi'xian 淇县
'qi'xian 祁县
'qi'yang 祁阳
'qian'an 乾安
'qian'an 迁安
'qian'he 千河
'qian'jiang 黔江
'qian'jin'zhen 前进镇
'qian'mo'tou 前磨头
'qian'wei 前卫
'qian'yang 千阳
'qiao'tou 桥头
'qin'feng'ying 勤丰营
'qin'huang'dao 秦皇岛
'qin'jia 秦家
'qin'jia'zhuang 秦家庄
'qin'ling 秦岭
'qin'xian 沁县
'qin'yang 沁阳
'qin'zhou 钦州
'qin'zhou'dong 钦州东
'qing'an 庆安
'qing'cheng'shan 青城山
'qing'dao 青岛
'qing'feng 庆丰
'qing'feng'dian 清风店
'qing'he 清河
'qing'he'cheng 清河城
'qing'he'men 清河门
'qing'hua'yuan 清华园
'qing'jian'xian 清涧县
'qing'liang'dian 清凉店
'qing'long'shan 青龙山
'qing'shan 青山
'qing'sheng 庆盛
'qing'shui 清水
'qing'tian 青田
'qing'tong'xia 青铜峡
'qing'xian 青县
'qing'xu 清徐
'qing'yuan 清原
'qing'yuan 清远
'qing'zhou'shi 青州市
'qiong'hai 琼海
'qu'fu 曲阜
'qu'fu'dong 曲阜东
'qu'jing 曲靖
'qu'jiu 渠旧
'qu'li 渠黎
'qu'xian 渠县
'qu'zhou 衢州
'quan'jiao 全椒
'quan'sheng 全胜
'quan'yang 泉阳
'quan'zhou 全州
'quan'zhou 泉州
'quan'zhou'dong 泉州东
'que'shan 确山
'rao'yang 饶阳
'rao'yang'he 绕阳河
're'shui 热水
'ren'qiu 任丘
'ri'zhao 日照
'rong'an 融安
'rong'chang 荣昌
'rong'gui 容桂
'rong'shui 融水
'rong'xian 容县
'ru'gao 如皋
'ru'shan 乳山
'ru'yang 汝阳
'ru'zhou 汝州
'rui'an 瑞安
'rui'chang 瑞昌
'rui'jin 瑞金
'sa'la'qi 萨拉齐
'sai'han'ta'la 赛汗塔拉
'san'he'xian 三河县
'san'hui'zhen 三汇镇
'san'jia'dian 三家店
'san'jia'zhai 三家寨
'san'jian'fang 三间房
'san'jiang'kou 三江口
'san'jiang'xian 三江县
'san'men'xia 三门峡
'san'men'xia'nan 三门峡南
'san'men'xia'xi 三门峡西
'san'men'xian 三门县
'san'ming 三明
'san'shi'jia 三十家
'san'shi'li'pu 三十里堡
'san'shui 三水
'san'tang'ji 三堂集
'san'ya 三亚
'san'yi'jing 三义井
'san'yuan 三原
'san'yuan'pu 三源浦
